processed 141298 tokens with 5389 phrases; found: 5381 phrases; correct: 4962.
accuracy:  99.67%; precision:  92.21%; recall:  92.08%; FB1:  92.14
    aircraft_code: precision:  73.68%; recall: 100.00%; FB1:  84.85  19
     airline_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  44
     airline_name: precision:  99.55%; recall:  99.55%; FB1:  99.55  223
     airport_code: precision:  55.56%; recall:  71.43%; FB1:  62.50  9
     airport_name: precision:  77.78%; recall:  73.68%; FB1:  75.68  18
arrive_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
arrive_date.day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
arrive_date.day_number: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
arrive_date.month_name: precision: 100.00%; recall:   6.67%; FB1:  12.50  1
arrive_date.today_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
arrive_time.end_time: precision: 100.00%; recall:  40.00%; FB1:  57.14  2
arrive_time.period_mod: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
arrive_time.period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
arrive_time.start_time: precision: 100.00%; recall:  40.00%; FB1:  57.14  2
 arrive_time.time: precision:  73.02%; recall:  80.70%; FB1:  76.67  63
arrive_time.time_relative: precision:  86.67%; recall:  75.00%; FB1:  80.41  45
        city_name: precision:  66.67%; recall:   5.00%; FB1:   9.30  6
       class_type: precision:  81.61%; recall:  94.67%; FB1:  87.65  87
          connect: precision:  81.25%; recall: 100.00%; FB1:  89.66  16
    cost_relative: precision: 100.00%; recall: 100.00%; FB1: 100.00  108
         day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        days_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_date.date_relative: precision:  84.00%; recall:  87.50%; FB1:  85.71  25
depart_date.day_name: precision:  87.82%; recall:  99.64%; FB1:  93.36  312
depart_date.day_number: precision:  86.13%; recall:  96.72%; FB1:  91.12  137
depart_date.month_name: precision:  87.02%; recall: 100.00%; FB1:  93.06  131
depart_date.today_relative: precision:  95.12%; recall:  97.50%; FB1:  96.30  41
 depart_date.year: precision: 100.00%; recall:  85.71%; FB1:  92.31  6
depart_time.end_time: precision:  75.00%; recall:  85.71%; FB1:  80.00  8
depart_time.period_mod: precision:  66.67%; recall:  30.77%; FB1:  42.11  6
depart_time.period_of_day: precision:  86.21%; recall:  97.77%; FB1:  91.62  203
depart_time.start_time: precision:  77.78%; recall: 100.00%; FB1:  87.50  9
 depart_time.time: precision:  90.91%; recall:  84.51%; FB1:  87.59  132
depart_time.time_relative: precision:  89.76%; recall:  94.21%; FB1:  91.94  127
          economy: precision: 100.00%; recall:  76.92%; FB1:  86.96  10
      fare_amount: precision: 100.00%; recall: 100.00%; FB1: 100.00  18
  fare_basis_code: precision:  96.30%; recall: 100.00%; FB1:  98.11  27
      flight_days: precision:  81.82%; recall: 100.00%; FB1:  90.00  11
       flight_mod: precision:  84.68%; recall:  89.52%; FB1:  87.04  111
    flight_number: precision:  69.57%; recall:  94.12%; FB1:  80.00  46
      flight_stop: precision: 100.00%; recall:  92.31%; FB1:  96.00  48
      flight_time: precision:  62.00%; recall:  93.94%; FB1:  74.70  50
fromloc.airport_code: precision: 100.00%; recall:  60.00%; FB1:  75.00  3
fromloc.airport_name: precision:  52.50%; recall:  84.00%; FB1:  64.62  40
fromloc.city_name: precision:  99.78%; recall:  98.51%; FB1:  99.14  1391
fromloc.state_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.state_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             meal: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        meal_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 meal_description: precision: 100.00%; recall:  90.00%; FB1:  94.74  18
              mod: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
               or: precision:  94.44%; recall: 100.00%; FB1:  97.14  18
    period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 restriction_code: precision: 100.00%; recall:  87.50%; FB1:  93.33  7
           return: precision:  66.67%; recall:  18.18%; FB1:  28.57  3
return_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_date.day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_date.day_number: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_date.month_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_time.period_mod: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_time.period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       round_trip: precision:  95.04%; recall: 100.00%; FB1:  97.46  121
       state_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       state_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.city_name: precision:  52.38%; recall:  97.47%; FB1:  68.14  147
stoploc.state_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   today_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
toloc.airport_code: precision: 100.00%; recall:  14.29%; FB1:  25.00  1
toloc.airport_name: precision: 100.00%; recall:  17.65%; FB1:  30.00  3
  toloc.city_name: precision:  97.56%; recall:  99.71%; FB1:  98.63  1434
 toloc.state_code: precision:  46.81%; recall: 100.00%; FB1:  63.77  47
 toloc.state_name: precision:  67.86%; recall:  79.17%; FB1:  73.08  28
   transport_type: precision: 100.00%; recall:  95.00%; FB1:  97.44  19
