processed 8335 tokens with 2834 phrases; found: 2831 phrases; correct: 2710.
accuracy:  98.51%; precision:  95.73%; recall:  95.62%; FB1:  95.68
    aircraft_code: precision: 100.00%; recall:  87.88%; FB1:  93.55  29
     airline_code: precision: 100.00%; recall:  91.18%; FB1:  95.38  31
     airline_name: precision:  86.32%; recall: 100.00%; FB1:  92.66  117
     airport_code: precision: 100.00%; recall:  77.78%; FB1:  87.50  7
     airport_name: precision: 100.00%; recall:  90.48%; FB1:  95.00  19
arrive_date.date_relative: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
arrive_date.day_name: precision: 100.00%; recall:  90.91%; FB1:  95.24  10
arrive_date.day_number: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
arrive_date.month_name: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
arrive_time.end_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  8
arrive_time.period_of_day: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
arrive_time.start_time: precision: 100.00%; recall:  87.50%; FB1:  93.33  7
 arrive_time.time: precision: 100.00%; recall:  91.18%; FB1:  95.38  31
arrive_time.time_relative: precision: 100.00%; recall:  90.32%; FB1:  94.92  28
    booking_class: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
        city_name: precision: 100.00%; recall:  87.72%; FB1:  93.46  50
       class_type: precision: 100.00%; recall:  87.50%; FB1:  93.33  21
      compartment: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
          connect: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
    cost_relative: precision: 100.00%; recall:  94.59%; FB1:  97.22  35
         day_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
        days_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
depart_date.date_relative: precision: 100.00%; recall:  88.24%; FB1:  93.75  15
depart_date.day_name: precision:  98.60%; recall: 100.00%; FB1:  99.30  215
depart_date.day_number: precision:  94.83%; recall: 100.00%; FB1:  97.35  58
depart_date.month_name: precision:  82.35%; recall: 100.00%; FB1:  90.32  68
depart_date.today_relative: precision: 100.00%; recall: 100.00%; FB1: 100.00  9
 depart_date.year: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
depart_time.end_time: precision: 100.00%; recall:  66.67%; FB1:  80.00  2
depart_time.period_mod: precision: 100.00%; recall: 100.00%; FB1: 100.00  5
depart_time.period_of_day: precision:  94.03%; recall: 100.00%; FB1:  96.92  134
depart_time.start_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
 depart_time.time: precision:  91.94%; recall: 100.00%; FB1:  95.80  62
depart_time.time_relative: precision: 100.00%; recall:  90.77%; FB1:  95.16  59
          economy: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
      fare_amount: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
  fare_basis_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  17
           flight: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
      flight_days: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
       flight_mod: precision: 100.00%; recall:  91.67%; FB1:  95.65  22
    flight_number: precision: 100.00%; recall: 100.00%; FB1: 100.00  11
      flight_stop: precision: 100.00%; recall: 100.00%; FB1: 100.00  21
      flight_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
fromloc.airport_code: precision: 100.00%; recall:  80.00%; FB1:  88.89  4
fromloc.airport_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  12
fromloc.city_name: precision:  91.73%; recall:  99.29%; FB1:  95.36  762
fromloc.state_code: precision: 100.00%; recall:  95.65%; FB1:  97.78  22
fromloc.state_name: precision: 100.00%; recall:  94.12%; FB1:  96.97  16
             meal: precision: 100.00%; recall:  87.50%; FB1:  93.33  14
        meal_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 meal_description: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
              mod: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
               or: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
    period_of_day: precision: 100.00%; recall: 100.00%; FB1: 100.00  4
 restriction_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  4
return_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
return_date.day_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  2
       round_trip: precision: 100.00%; recall: 100.00%; FB1: 100.00  74
       state_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
       state_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  9
stoploc.airport_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
stoploc.city_name: precision: 100.00%; recall:  95.00%; FB1:  97.44  19
toloc.airport_code: precision: 100.00%; recall:  75.00%; FB1:  85.71  3
toloc.airport_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
  toloc.city_name: precision:  98.35%; recall:  91.48%; FB1:  94.79  666
toloc.country_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 toloc.state_code: precision: 100.00%; recall:  88.89%; FB1:  94.12  16
 toloc.state_name: precision: 100.00%; recall:  92.86%; FB1:  96.30  26
   transport_type: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
